RMS values
 ,pose1_0rot.pdb, pose2_0rot.pdb, pose3_0rot.pdb, pose4_0rot.pdb, pose5_1rot.pdb, pose6_0rot.pdb, pose7_0rot.pdb, pose8_1rot.pdb, pose9_0rot.pdb, 
pose1_0rot.pdb, 0.0, 3.57, 2.0, 21.38, 7.98, 21.76, 11.8, 8.31, 16.6, 
pose2_0rot.pdb, 3.57, 0.0, 3.0, 21.53, 7.89, 21.9, 12.29, 8.76, 17.46, 
pose3_0rot.pdb, 2.0, 3.0, 0.0, 21.81, 8.07, 21.96, 12.24, 8.77, 16.97, 
pose4_0rot.pdb, 21.38, 21.53, 21.81, 0.0, 25.6, 5.58, 21.17, 25.19, 32.27, 
pose5_1rot.pdb, 7.98, 7.89, 8.07, 25.6, 0.0, 26.19, 14.05, 4.76, 10.59, 
pose6_0rot.pdb, 21.76, 21.9, 21.96, 5.58, 26.19, 0.0, 20.64, 25.79, 32.79, 
pose7_0rot.pdb, 11.8, 12.29, 12.24, 21.17, 14.05, 20.64, 0.0, 14.3, 20.08, 
pose8_1rot.pdb, 8.31, 8.76, 8.77, 25.19, 4.76, 25.79, 14.3, 0.0, 10.26, 
pose9_0rot.pdb, 16.6, 17.46, 16.97, 32.27, 10.59, 32.79, 20.08, 10.26, 0.0, 
