RMS values
 ,pose1_0rot.pdb, pose2_0rot.pdb, pose3_0rot.pdb, pose4_0rot.pdb, pose5_2rot.pdb, pose6_2rot.pdb, pose7_2rot.pdb, pose8_1rot.pdb, pose9_0rot.pdb, 
pose1_0rot.pdb, 0.0, 4.53, 1.75, 1.58, 4.11, 6.72, 6.8, 3.85, 3.72, 
pose2_0rot.pdb, 4.53, 0.0, 4.47, 4.46, 5.6, 5.19, 5.14, 5.4, 5.39, 
pose3_0rot.pdb, 1.75, 4.47, 0.0, 2.4, 4.07, 6.41, 6.51, 3.4, 3.41, 
pose4_0rot.pdb, 1.58, 4.46, 2.4, 0.0, 4.38, 6.83, 6.9, 3.9, 4.05, 
pose5_2rot.pdb, 4.11, 5.6, 4.07, 4.38, 0.0, 7.52, 7.47, 5.94, 3.51, 
pose6_2rot.pdb, 6.72, 5.19, 6.41, 6.83, 7.52, 0.0, 1.95, 7.57, 6.46, 
pose7_2rot.pdb, 6.8, 5.14, 6.51, 6.9, 7.47, 1.95, 0.0, 7.53, 6.48, 
pose8_1rot.pdb, 3.85, 5.4, 3.4, 3.9, 5.94, 7.57, 7.53, 0.0, 5.43, 
pose9_0rot.pdb, 3.72, 5.39, 3.41, 4.05, 3.51, 6.46, 6.48, 5.43, 0.0, 
