Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.83, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pose2.pdb, 0.84, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pose3.pdb, 0.0, 0.0, 1.0, 0.62, 0.0, 0.0, 0.0, 0.51, 0.0, 
pose4.pdb, 0.0, 0.0, 0.69, 1.0, 0.0, 0.0, 0.0, 0.66, 0.0, 
pose5.pdb, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.63, 0.0, 0.0, 
pose6.pdb, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 
pose7.pdb, 0.0, 0.0, 0.0, 0.0, 0.94, 0.0, 1.0, 0.0, 0.0, 
pose8.pdb, 0.0, 0.0, 0.45, 0.59, 0.0, 0.0, 0.0, 1.0, 0.0, 
pose9.pdb, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 
