Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.56, 0.0, 0.0, 0.0, 0.0, 0.57, 0.0, 0.96, 
pose2.pdb, 0.55, 1.0, 0.0, 0.0, 0.0, 0.0, 0.95, 0.0, 0.56, 
pose3.pdb, 0.0, 0.0, 1.0, 0.0, 0.97, 0.0, 0.0, 0.89, 0.0, 
pose4.pdb, 0.0, 0.0, 0.0, 1.0, 0.0, 0.97, 0.0, 0.0, 0.0, 
pose5.pdb, 0.0, 0.0, 0.98, 0.0, 1.0, 0.0, 0.0, 0.89, 0.0, 
pose6.pdb, 0.0, 0.0, 0.0, 1.04, 0.0, 1.0, 0.0, 0.0, 0.0, 
pose7.pdb, 0.55, 0.97, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.59, 
pose8.pdb, 0.0, 0.0, 0.76, 0.0, 0.8, 0.0, 0.0, 1.0, 0.0, 
pose9.pdb, 0.93, 0.59, 0.0, 0.0, 0.0, 0.0, 0.63, 0.0, 1.0, 
