Fingerprint values
 ,crystal.pdb, pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, 
crystal.pdb, 1.0, 0.57, 0.25, 0.2, 0.0, 0.0, 
pose1.pdb, 0.51, 1.0, 0.25, 0.17, 0.03, 0.0, 
pose2.pdb, 0.24, 0.2, 1.0, 0.13, 0.04, 0.26, 
pose3.pdb, 0.2, 0.19, 0.14, 1.0, 0.0, 0.0, 
pose4.pdb, 0.0, 0.02, 0.04, 0.0, 1.0, 0.48, 
pose5.pdb, 0.0, 0.0, 0.27, 0.0, 0.6, 1.0, 
