Fingerprint values
 ,vina1.pdb, vina2.pdb, vina3.pdb, vina4.pdb, vina5.pdb, vina6.pdb, vina7.pdb, vina8.pdb, vina9.pdb, 
vina1.pdb, 1.0, 0.58, 0.53, 0.55, 0.53, 0.5, 0.57, 0.67, 0.76, 
vina2.pdb, 0.58, 1.0, 0.42, 0.45, 0.42, 0.4, 0.38, 0.56, 0.76, 
vina3.pdb, 0.53, 0.42, 1.0, 0.82, 1.0, 0.93, 0.88, 0.77, 0.62, 
vina4.pdb, 0.55, 0.45, 0.82, 1.0, 0.82, 0.78, 0.74, 0.75, 0.63, 
vina5.pdb, 0.53, 0.42, 1.0, 0.82, 1.0, 0.93, 0.88, 0.77, 0.62, 
vina6.pdb, 0.5, 0.4, 0.93, 0.78, 0.93, 1.0, 0.82, 0.71, 0.59, 
vina7.pdb, 0.57, 0.38, 0.88, 0.74, 0.88, 0.82, 1.0, 0.67, 0.56, 
vina8.pdb, 0.67, 0.56, 0.77, 0.75, 0.77, 0.71, 0.67, 1.0, 0.8, 
vina9.pdb, 0.76, 0.76, 0.62, 0.63, 0.62, 0.59, 0.56, 0.8, 1.0, 
