Fingerprint values
 ,1fx9_01.pdb, 1fx9_02.pdb, 1fx9_03.pdb, 1fx9_04.pdb, 1fx9_05.pdb, 1fx9_06.pdb, 1fx9_07.pdb, 1fx9_08.pdb, 1fx9_09.pdb, 
1fx9_01.pdb, 1.0, 0.48697996206137034, 0.6532985591933973, 0.5396397980435563, 0.05051568202827216, 0.6571330541686154, 0.01620509308880411, 0.036230635583650854, 0.5259670575541033, 
1fx9_02.pdb, 0.48697996206137034, 1.0, 0.42704896753029736, 0.24437464998447594, 0.01376563233105816, 0.3514693559880409, 0.04544973009932727, 0.031710712810195434, 0.17589863377751536, 
1fx9_03.pdb, 0.6532985591933973, 0.42704896753029736, 1.0, 0.3682959297791545, 0.035986126423960874, 0.5159574468085106, 0.025574527525517803, 0.039196702849316555, 0.39597275801134096, 
1fx9_04.pdb, 0.5396397980435563, 0.24437464998447594, 0.3682959297791545, 1.0, 0.06085355444125751, 0.6899145570080353, 0.1624067576900679, 0.06989039684559485, 0.5438555823675637, 
1fx9_05.pdb, 0.05051568202827216, 0.01376563233105816, 0.035986126423960874, 0.06085355444125751, 1.0, 0.04439773455823993, 0.16719813606749326, 0.5384615384615384, 0.06359228147831175, 
1fx9_06.pdb, 0.6571330541686154, 0.3514693559880409, 0.5159574468085106, 0.6899145570080353, 0.04439773455823993, 1.0, 0.07013572706890837, 0.08570083295022039, 0.566564362134366, 
1fx9_07.pdb, 0.01620509308880411, 0.04544973009932727, 0.025574527525517803, 0.1624067576900679, 0.16719813606749326, 0.07013572706890837, 1.0, 0.18529642184483178, 0.0, 
1fx9_08.pdb, 0.036230635583650854, 0.031710712810195434, 0.039196702849316555, 0.06989039684559485, 0.5384615384615384, 0.08570083295022039, 0.18529642184483178, 1.0, 0.1020961312963128, 
1fx9_09.pdb, 0.5259670575541033, 0.17589863377751536, 0.39597275801134096, 0.5438555823675637, 0.06359228147831175, 0.566564362134366, 0.0, 0.1020961312963128, 1.0, 
