Fingerprint values
 ,crystal.pdb, pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, 
crystal.pdb, 1.0, 0.47, 0.18, 0.21, 0.0, 0.0, 
pose1.pdb, 0.47, 1.0, 0.18, 0.16, 0.02, 0.0, 
pose2.pdb, 0.18, 0.18, 1.0, 0.13, 0.04, 0.22, 
pose3.pdb, 0.21, 0.16, 0.13, 1.0, 0.0, 0.0, 
pose4.pdb, 0.0, 0.02, 0.04, 0.0, 1.0, 0.4, 
pose5.pdb, 0.0, 0.0, 0.22, 0.0, 0.4, 1.0, 
