Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.17, 0.36, 0.23, 0.28, 0.21, 0.1, 0.1, 0.19, 
pose2.pdb, 0.15, 1.0, 0.22, 0.29, 0.08, 0.05, 0.21, 0.11, 0.23, 
pose3.pdb, 0.32, 0.25, 1.0, 0.23, 0.24, 0.2, 0.23, 0.34, 0.26, 
pose4.pdb, 0.18, 0.25, 0.21, 1.0, 0.0, 0.11, 0.74, 0.11, 0.13, 
pose5.pdb, 0.24, 0.09, 0.23, 0.0, 1.0, 0.28, 0.04, 0.2, 0.26, 
pose6.pdb, 0.15, 0.05, 0.21, 0.12, 0.29, 1.0, 0.09, 0.09, 0.0, 
pose7.pdb, 0.12, 0.23, 0.26, 0.67, 0.04, 0.08, 1.0, 0.16, 0.22, 
pose8.pdb, 0.09, 0.15, 0.38, 0.09, 0.19, 0.07, 0.14, 1.0, 0.38, 
pose9.pdb, 0.17, 0.25, 0.27, 0.13, 0.27, 0.0, 0.21, 0.42, 1.0, 
