Fingerprint values
 ,crystal.pdb, pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, 
crystal.pdb, 1.0, 0.64, 0.72, 0.37, 0.56, 0.7, 
pose1.pdb, 0.64, 1.0, 0.51, 0.34, 0.7, 0.73, 
pose2.pdb, 0.72, 0.51, 1.0, 0.42, 0.58, 0.67, 
pose3.pdb, 0.37, 0.34, 0.42, 1.0, 0.11, 0.2, 
pose4.pdb, 0.56, 0.7, 0.58, 0.11, 1.0, 0.78, 
pose5.pdb, 0.7, 0.73, 0.67, 0.2, 0.78, 1.0, 
