Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.16, 0.77, 0.71, 0.67, 0.29, 0.32, 0.54, 0.74, 
pose2.pdb, 0.16, 1.0, 0.19, 0.17, 0.27, 0.5, 0.5, 0.19, 0.27, 
pose3.pdb, 0.77, 0.19, 1.0, 0.58, 0.87, 0.24, 0.29, 0.73, 0.96, 
pose4.pdb, 0.71, 0.17, 0.58, 1.0, 0.48, 0.32, 0.35, 0.5, 0.56, 
pose5.pdb, 0.67, 0.27, 0.87, 0.48, 1.0, 0.22, 0.27, 0.78, 0.92, 
pose6.pdb, 0.29, 0.5, 0.24, 0.32, 0.22, 1.0, 0.75, 0.12, 0.33, 
pose7.pdb, 0.32, 0.5, 0.29, 0.35, 0.27, 0.75, 1.0, 0.19, 0.36, 
pose8.pdb, 0.54, 0.19, 0.73, 0.5, 0.78, 0.12, 0.19, 1.0, 0.7, 
pose9.pdb, 0.74, 0.27, 0.96, 0.56, 0.92, 0.33, 0.36, 0.7, 1.0, 
