RMS values
 ,1fx9_01xyzl_0rot.pdb, 1fx9_02xyzl_0rot.pdb, 1fx9_03xyzl_0rot.pdb, 1fx9_04xyzl_0rot.pdb, 1fx9_05xyzl_1rot.pdb, 1fx9_06xyzl_0rot.pdb, 1fx9_07xyzl_1rot.pdb, 1fx9_08xyzl_1rot.pdb, 1fx9_09xyzl_0rot.pdb, 
1fx9_01xyzl_0rot.pdb, 0.0, 3.800102472305298, 1.9268550872802734, 4.489785671234131, 5.187816143035889, 2.0833170413970947, 8.52369213104248, 4.459974765777588, 4.903249740600586, 
1fx9_02xyzl_0rot.pdb, 3.800102472305298, 0.0, 4.035868167877197, 5.812584400177002, 5.577339172363281, 4.067564487457275, 8.48265552520752, 4.830242156982422, 6.0584869384765625, 
1fx9_03xyzl_0rot.pdb, 1.9268550872802734, 4.035868167877197, 0.0, 4.799224853515625, 5.281022071838379, 2.8001887798309326, 8.22987174987793, 4.878044128417969, 5.006819248199463, 
1fx9_04xyzl_0rot.pdb, 4.489785671234131, 5.812584400177002, 4.799224853515625, 0.0, 7.158531665802002, 3.925388813018799, 9.454708099365234, 6.097582817077637, 2.9460434913635254, 
1fx9_05xyzl_1rot.pdb, 5.187816143035889, 5.577339172363281, 5.281022071838379, 7.158531665802002, 0.0, 5.759120941162109, 8.007725715637207, 2.994791030883789, 6.6888651847839355, 
1fx9_06xyzl_0rot.pdb, 2.0833170413970947, 4.067564487457275, 2.8001887798309326, 3.925388813018799, 5.759120941162109, 0.0, 8.737517356872559, 4.71502685546875, 4.534822940826416, 
1fx9_07xyzl_1rot.pdb, 8.52369213104248, 8.48265552520752, 8.22987174987793, 9.454708099365234, 8.007725715637207, 8.737517356872559, 0.0, 7.811915874481201, 9.56859302520752, 
1fx9_08xyzl_1rot.pdb, 4.459974765777588, 4.830242156982422, 4.878044128417969, 6.097582817077637, 2.994791030883789, 4.71502685546875, 7.811915874481201, 0.0, 6.400174140930176, 
1fx9_09xyzl_0rot.pdb, 4.903249740600586, 6.0584869384765625, 5.006819248199463, 2.9460434913635254, 6.6888651847839355, 4.534822940826416, 9.56859302520752, 6.400174140930176, 0.0, 
