Fingerprint values
 ,vina_ligand_1.pdb, vina_ligand_2.pdb, vina_ligand_3.pdb, vina_ligand_4.pdb, vina_ligand_5.pdb, vina_ligand_6.pdb, vina_ligand_7.pdb, vina_ligand_8.pdb, vina_ligand_9.pdb, 
vina_ligand_1.pdb, 1.0, 0.7, 0.59, 0.7, 0.55, 0.0, 0.0, 0.0, 0.59, 
vina_ligand_2.pdb, 0.68, 1.0, 0.45, 0.83, 0.42, 0.0, 0.0, 0.0, 0.46, 
vina_ligand_3.pdb, 0.58, 0.43, 1.0, 0.51, 0.78, 0.0, 0.0, 0.02, 0.77, 
vina_ligand_4.pdb, 0.68, 0.84, 0.53, 1.0, 0.53, 0.0, 0.0, 0.0, 0.53, 
vina_ligand_5.pdb, 0.55, 0.41, 0.76, 0.51, 1.0, 0.0, 0.0, 0.0, 0.76, 
vina_ligand_6.pdb, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.5, 0.48, 0.0, 
vina_ligand_7.pdb, 0.0, 0.0, 0.0, 0.0, 0.0, 0.48, 1.0, 0.75, 0.0, 
vina_ligand_8.pdb, 0.0, 0.0, 0.02, 0.0, 0.0, 0.49, 0.78, 1.0, 0.0, 
vina_ligand_9.pdb, 0.57, 0.43, 0.75, 0.51, 0.78, 0.0, 0.0, 0.0, 1.0, 
