Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.25, 0.17, 0.03, 0.0, 0.02, 0.1, 0.08, 0.0, 
pose2.pdb, 0.2, 1.0, 0.13, 0.04, 0.26, 0.0, 0.09, 0.26, 0.04, 
pose3.pdb, 0.19, 0.14, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pose4.pdb, 0.02, 0.04, 0.0, 1.0, 0.48, 0.84, 0.95, 0.7, 0.82, 
pose5.pdb, 0.0, 0.27, 0.0, 0.6, 1.0, 0.57, 0.63, 0.9, 0.71, 
pose6.pdb, 0.01, 0.0, 0.0, 0.63, 0.36, 1.0, 0.61, 0.55, 0.7, 
pose7.pdb, 0.08, 0.08, 0.0, 0.89, 0.5, 0.86, 1.0, 0.78, 0.91, 
pose8.pdb, 0.08, 0.29, 0.0, 0.71, 0.84, 0.74, 0.85, 1.0, 0.84, 
pose9.pdb, 0.0, 0.04, 0.0, 0.87, 0.56, 1.1, 0.86, 0.74, 1.0, 
