RMS values
 ,pose1_0rot.pdb, pose2_0rot.pdb, pose3_0rot.pdb, pose4_0rot.pdb, pose5_0rot.pdb, pose6_0rot.pdb, pose7_1rot.pdb, pose8_0rot.pdb, pose9_0rot.pdb, 
pose1_0rot.pdb, 0.0, 2.18, 2.38, 4.59, 4.31, 5.58, 9.86, 4.6, 10.8, 
pose2_0rot.pdb, 2.18, 0.0, 2.68, 4.8, 4.3, 5.56, 9.44, 4.35, 10.47, 
pose3_0rot.pdb, 2.38, 2.68, 0.0, 4.37, 4.59, 5.22, 10.2, 5.11, 10.05, 
pose4_0rot.pdb, 4.59, 4.8, 4.37, 0.0, 4.52, 4.59, 10.19, 5.36, 8.3, 
pose5_0rot.pdb, 4.31, 4.3, 4.59, 4.52, 0.0, 6.85, 10.67, 2.38, 10.31, 
pose6_0rot.pdb, 5.58, 5.56, 5.22, 4.59, 6.85, 0.0, 10.46, 7.35, 8.47, 
pose7_1rot.pdb, 9.86, 9.44, 10.2, 10.19, 10.67, 10.46, 0.0, 10.24, 13.48, 
pose8_0rot.pdb, 4.6, 4.35, 5.11, 5.36, 2.38, 7.35, 10.24, 0.0, 10.76, 
pose9_0rot.pdb, 10.8, 10.47, 10.05, 8.3, 10.31, 8.47, 13.48, 10.76, 0.0, 
