RMS values
 ,pose1_0rot.pdb, pose2_0rot.pdb, pose3_2rot.pdb, pose4_0rot.pdb, pose5_1rot.pdb, pose6_1rot.pdb, pose7_1rot.pdb, pose8_0rot.pdb, pose9_1rot.pdb, 
pose1_0rot.pdb, 0.0, 2.99, 16.27, 16.72, 18.67, 12.14, 18.32, 12.14, 11.33, 
pose2_0rot.pdb, 2.99, 0.0, 15.91, 17.05, 18.82, 12.1, 18.58, 11.8, 9.93, 
pose3_2rot.pdb, 16.27, 15.91, 0.0, 10.3, 15.47, 17.37, 16.52, 9.91, 18.37, 
pose4_0rot.pdb, 16.72, 17.05, 10.3, 0.0, 11.2, 21.01, 12.67, 8.9, 20.68, 
pose5_1rot.pdb, 18.67, 18.82, 15.47, 11.2, 0.0, 18.99, 2.99, 12.58, 24.92, 
pose6_1rot.pdb, 12.14, 12.1, 17.37, 21.01, 18.99, 0.0, 18.01, 17.37, 20.26, 
pose7_1rot.pdb, 18.32, 18.58, 16.52, 12.67, 2.99, 18.01, 0.0, 13.71, 25.3, 
pose8_0rot.pdb, 12.14, 11.8, 9.91, 8.9, 12.58, 17.37, 13.71, 0.0, 14.73, 
pose9_1rot.pdb, 11.33, 9.93, 18.37, 20.68, 24.92, 20.26, 25.3, 14.73, 0.0, 
