Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.92, 0.85, 0.55, 0.89, 0.73, 0.58, 1.0, 0.6, 
pose2.pdb, 0.92, 1.0, 0.92, 0.6, 0.96, 0.8, 0.64, 0.92, 0.67, 
pose3.pdb, 0.85, 0.92, 1.0, 0.6, 0.88, 0.8, 0.64, 0.85, 0.67, 
pose4.pdb, 0.55, 0.6, 0.6, 1.0, 0.67, 0.75, 0.78, 0.55, 0.86, 
pose5.pdb, 0.89, 0.96, 0.88, 0.67, 1.0, 0.76, 0.7, 0.89, 0.63, 
pose6.pdb, 0.73, 0.8, 0.8, 0.75, 0.76, 1.0, 0.78, 0.73, 0.86, 
pose7.pdb, 0.58, 0.64, 0.64, 0.78, 0.7, 0.78, 1.0, 0.58, 0.75, 
pose8.pdb, 1.0, 0.92, 0.85, 0.55, 0.89, 0.73, 0.58, 1.0, 0.6, 
pose9.pdb, 0.6, 0.67, 0.67, 0.86, 0.63, 0.86, 0.75, 0.6, 1.0, 
