Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.86, 0.0, 0.57, 0.0, 0.57, 0.57, 0.0, 1.0, 
pose2.pdb, 0.86, 1.0, 0.0, 0.5, 0.0, 0.5, 0.75, 0.0, 0.86, 
pose3.pdb, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.0, 
pose4.pdb, 0.57, 0.5, 0.0, 1.0, 0.0, 1.0, 0.25, 0.0, 0.57, 
pose5.pdb, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.5, 0.0, 
pose6.pdb, 0.57, 0.5, 0.0, 1.0, 0.0, 1.0, 0.25, 0.0, 0.57, 
pose7.pdb, 0.57, 0.75, 0.0, 0.25, 0.0, 0.25, 1.0, 0.0, 0.57, 
pose8.pdb, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 1.0, 0.0, 
pose9.pdb, 1.0, 0.86, 0.0, 0.57, 0.0, 0.57, 0.57, 0.0, 1.0, 
