Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.4, 0.76, 0.85, 0.0, 0.39, 0.49, 0.3, 0.57, 
pose2.pdb, 0.43, 1.0, 0.39, 0.4, 0.0, 0.06, 0.27, 0.03, 0.13, 
pose3.pdb, 0.99, 0.39, 1.0, 0.75, 0.0, 0.3, 0.37, 0.32, 0.64, 
pose4.pdb, 0.87, 0.4, 0.62, 1.0, 0.0, 0.39, 0.45, 0.36, 0.42, 
pose5.pdb, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.27, 0.05, 
pose6.pdb, 0.37, 0.06, 0.27, 0.37, 0.0, 1.0, 0.79, 0.0, 0.0, 
pose7.pdb, 0.47, 0.29, 0.38, 0.44, 0.0, 0.74, 1.0, 0.0, 0.0, 
pose8.pdb, 0.29, 0.03, 0.37, 0.45, 0.31, 0.0, 0.0, 1.0, 0.51, 
pose9.pdb, 0.65, 0.15, 0.55, 0.45, 0.05, 0.0, 0.0, 0.47, 1.0, 
