Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.38230072737812854, 0.7355371900826446, 0.7998801046856978, 0.0, 0.37361990944634343, 0.44642857142857145, 0.2857142857142857, 0.5233951675105292, 
pose2.pdb, 0.38230072737812854, 1.0, 0.35119746360704657, 0.36324157862838946, 0.0, 0.15002131135906185, 0.3149066057412702, 0.026490647141300876, 0.12209353913347194, 
pose3.pdb, 0.7355371900826446, 0.35119746360704657, 1.0, 0.6378522083071634, 0.019188238911333404, 0.2682926829268293, 0.39622641509433965, 0.30469361051139904, 0.5178008064857771, 
pose4.pdb, 0.7998801046856978, 0.36324157862838946, 0.6378522083071634, 1.0, 0.0, 0.37361990944634343, 0.4166666666666667, 0.3284520598322202, 0.40076235491408, 
pose5.pdb, 0.0, 0.0, 0.019188238911333404, 0.0, 1.0, 0.0, 0.0, 0.2818289360498511, 0.05190261823871886, 
pose6.pdb, 0.37361990944634343, 0.15002131135906185, 0.2682926829268293, 0.37361990944634343, 0.0, 1.0, 0.7514390803127389, 0.0, 0.0, 
pose7.pdb, 0.44642857142857145, 0.3149066057412702, 0.39622641509433965, 0.4166666666666667, 0.0, 0.7514390803127389, 1.0, 0.0, 0.0, 
pose8.pdb, 0.2857142857142857, 0.026490647141300876, 0.30469361051139904, 0.3284520598322202, 0.2818289360498511, 0.0, 0.0, 1.0, 0.4689790496105418, 
pose9.pdb, 0.5233951675105292, 0.12209353913347194, 0.5178008064857771, 0.40076235491408, 0.05190261823871886, 0.0, 0.0, 0.4689790496105418, 1.0, 
