Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.09, 0.75, 0.67, 0.69, 0.11, 0.27, 0.56, 0.72, 
pose2.pdb, 0.09, 1.0, 0.11, 0.09, 0.29, 0.31, 0.47, 0.2, 0.2, 
pose3.pdb, 0.75, 0.11, 1.0, 0.52, 0.91, 0.0, 0.22, 0.76, 0.95, 
pose4.pdb, 0.67, 0.09, 0.52, 1.0, 0.48, 0.24, 0.38, 0.5, 0.5, 
pose5.pdb, 0.69, 0.29, 0.91, 0.48, 1.0, 0.12, 0.3, 0.78, 0.96, 
pose6.pdb, 0.11, 0.31, 0.0, 0.24, 0.12, 1.0, 0.67, 0.0, 0.13, 
pose7.pdb, 0.27, 0.47, 0.22, 0.38, 0.3, 0.67, 1.0, 0.21, 0.32, 
pose8.pdb, 0.56, 0.2, 0.76, 0.5, 0.78, 0.0, 0.21, 1.0, 0.73, 
pose9.pdb, 0.72, 0.2, 0.95, 0.5, 0.96, 0.13, 0.32, 0.73, 1.0, 
