RMS values
 ,pose1_0rot.pdb, pose2_0rot.pdb, pose3_0rot.pdb, pose4_1rot.pdb, pose5_0rot.pdb, pose6_3rot.pdb, pose7_0rot.pdb, pose8_0rot.pdb, pose9_3rot.pdb, 
pose1_0rot.pdb, 0.0, 6.49, 2.18, 4.76, 7.07, 1.35, 3.45, 4.37, 2.48, 
pose2_0rot.pdb, 6.49, 0.0, 6.37, 7.11, 6.78, 6.6, 6.29, 7.32, 6.47, 
pose3_0rot.pdb, 2.18, 6.37, 0.0, 4.82, 7.31, 2.41, 3.75, 4.35, 1.18, 
pose4_1rot.pdb, 4.76, 7.11, 4.82, 0.0, 7.03, 5.05, 5.86, 5.75, 4.8, 
pose5_0rot.pdb, 7.07, 6.78, 7.31, 7.03, 0.0, 6.87, 6.86, 8.07, 7.06, 
pose6_3rot.pdb, 1.35, 6.6, 2.41, 5.05, 6.87, 0.0, 3.22, 4.48, 2.41, 
pose7_0rot.pdb, 3.45, 6.29, 3.75, 5.86, 6.86, 3.22, 0.0, 3.87, 3.65, 
pose8_0rot.pdb, 4.37, 7.32, 4.35, 5.75, 8.07, 4.48, 3.87, 0.0, 4.53, 
pose9_3rot.pdb, 2.48, 6.47, 1.18, 4.8, 7.06, 2.41, 3.65, 4.53, 0.0, 
