Fingerprint values
 ,vina_ligand_1.pdb, vina_ligand_2.pdb, vina_ligand_3.pdb, 
vina_ligand_1.pdb, 1.0, 0.79, 0.74, 
vina_ligand_2.pdb, 0.79, 1.0, 0.71, 
vina_ligand_3.pdb, 0.74, 0.71, 1.0, 
