RMS values
 ,pose1_0rot.pdb, pose2_3rot.pdb, pose3_1rot.pdb, pose4_0rot.pdb, pose5_0rot.pdb, pose6_0rot.pdb, pose7_2rot.pdb, pose8_1rot.pdb, pose9_1rot.pdb, 
pose1_0rot.pdb, 0.0, 5.17, 4.46, 5.15, 3.89, 4.62, 5.76, 2.98, 4.39, 
pose2_3rot.pdb, 5.17, 0.0, 5.54, 7.32, 4.26, 6.32, 6.71, 6.14, 6.37, 
pose3_1rot.pdb, 4.46, 5.54, 0.0, 5.98, 5.74, 7.05, 6.79, 3.7, 6.35, 
pose4_0rot.pdb, 5.15, 7.32, 5.98, 0.0, 6.88, 5.66, 6.25, 4.99, 4.99, 
pose5_0rot.pdb, 3.89, 4.26, 5.74, 6.88, 0.0, 5.25, 6.44, 5.28, 5.04, 
pose6_0rot.pdb, 4.62, 6.32, 7.05, 5.66, 5.25, 0.0, 6.6, 6.0, 6.18, 
pose7_2rot.pdb, 5.76, 6.71, 6.79, 6.25, 6.44, 6.6, 0.0, 6.37, 4.98, 
pose8_1rot.pdb, 2.98, 6.14, 3.7, 4.99, 5.28, 6.0, 6.37, 0.0, 4.72, 
pose9_1rot.pdb, 4.39, 6.37, 6.35, 4.99, 5.04, 6.18, 4.98, 4.72, 0.0, 
