Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.48, 0.56, 0.45, 0.31, 0.32, 0.41, 0.67, 0.46, 
pose2.pdb, 0.48, 1.0, 0.43, 0.53, 0.41, 0.39, 0.62, 0.73, 0.62, 
pose3.pdb, 0.56, 0.43, 1.0, 0.4, 0.48, 0.49, 0.21, 0.69, 0.32, 
pose4.pdb, 0.45, 0.53, 0.4, 1.0, 0.65, 0.56, 0.47, 0.56, 0.52, 
pose5.pdb, 0.31, 0.41, 0.48, 0.65, 1.0, 0.53, 0.48, 0.52, 0.62, 
pose6.pdb, 0.32, 0.39, 0.49, 0.56, 0.53, 1.0, 0.24, 0.46, 0.32, 
pose7.pdb, 0.41, 0.62, 0.21, 0.47, 0.48, 0.24, 1.0, 0.53, 0.62, 
pose8.pdb, 0.67, 0.73, 0.69, 0.56, 0.52, 0.46, 0.53, 1.0, 0.52, 
pose9.pdb, 0.46, 0.62, 0.32, 0.52, 0.62, 0.32, 0.62, 0.52, 1.0, 
