RMS values
 ,pose1_0rot.pdb, pose2_0rot.pdb, pose3_0rot.pdb, pose4_0rot.pdb, pose5_2rot.pdb, pose6_2rot.pdb, pose7_2rot.pdb, pose8_1rot.pdb, pose9_0rot.pdb, 
pose1_0rot.pdb, 0.0, 4.526162624359131, 1.7466527223587036, 1.5794212818145752, 4.112908363342285, 6.717751979827881, 6.7968034744262695, 3.8462629318237305, 3.7237870693206787, 
pose2_0rot.pdb, 4.526162624359131, 0.0, 4.468839645385742, 4.464873313903809, 5.599920272827148, 5.194436550140381, 5.143466472625732, 5.403900146484375, 5.3946852684021, 
pose3_0rot.pdb, 1.7466527223587036, 4.468839645385742, 0.0, 2.4002604484558105, 4.070851802825928, 6.413086891174316, 6.513931751251221, 3.3995144367218018, 3.410210609436035, 
pose4_0rot.pdb, 1.5794212818145752, 4.464873313903809, 2.4002604484558105, 0.0, 4.381605625152588, 6.825702667236328, 6.902054309844971, 3.9049837589263916, 4.046531677246094, 
pose5_2rot.pdb, 4.112908363342285, 5.599920272827148, 4.070851802825928, 4.381605625152588, 0.0, 7.520290374755859, 7.473809719085693, 5.938534736633301, 3.5091593265533447, 
pose6_2rot.pdb, 6.717751979827881, 5.194436550140381, 6.413086891174316, 6.825702667236328, 7.520290374755859, 0.0, 1.9484070539474487, 7.568159103393555, 6.459218978881836, 
pose7_2rot.pdb, 6.7968034744262695, 5.143466472625732, 6.513931751251221, 6.902054309844971, 7.473809719085693, 1.9484070539474487, 0.0, 7.531045913696289, 6.482005596160889, 
pose8_1rot.pdb, 3.8462629318237305, 5.403900146484375, 3.3995144367218018, 3.9049837589263916, 5.938534736633301, 7.568159103393555, 7.531045913696289, 0.0, 5.425639629364014, 
pose9_0rot.pdb, 3.7237870693206787, 5.3946852684021, 3.410210609436035, 4.046531677246094, 3.5091593265533447, 6.459218978881836, 6.482005596160889, 5.425639629364014, 0.0, 
