Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.17, 0.72, 0.07, 0.11, 0.03, 0.26, 0.23, 0.04, 
pose2.pdb, 0.17, 1.0, 0.17, 0.04, 0.4, 0.02, 0.09, 0.04, 0.02, 
pose3.pdb, 0.72, 0.17, 1.0, 0.09, 0.14, 0.05, 0.2, 0.23, 0.05, 
pose4.pdb, 0.07, 0.04, 0.09, 1.0, 0.0, 0.19, 0.05, 0.06, 0.33, 
pose5.pdb, 0.11, 0.4, 0.14, 0.0, 1.0, 0.0, 0.08, 0.05, 0.0, 
pose6.pdb, 0.03, 0.02, 0.05, 0.19, 0.0, 1.0, 0.05, 0.01, 0.61, 
pose7.pdb, 0.26, 0.09, 0.2, 0.05, 0.08, 0.05, 1.0, 0.41, 0.07, 
pose8.pdb, 0.23, 0.04, 0.23, 0.06, 0.05, 0.01, 0.41, 1.0, 0.04, 
pose9.pdb, 0.04, 0.02, 0.05, 0.33, 0.0, 0.61, 0.07, 0.04, 1.0, 
