Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.51, 0.34, 0.7, 0.73, 0.64, 0.77, 0.73, 0.71, 
pose2.pdb, 0.51, 1.0, 0.42, 0.58, 0.67, 0.48, 0.59, 0.62, 0.54, 
pose3.pdb, 0.34, 0.42, 1.0, 0.11, 0.2, 0.11, 0.12, 0.26, 0.12, 
pose4.pdb, 0.7, 0.58, 0.11, 1.0, 0.78, 0.76, 0.88, 0.77, 0.81, 
pose5.pdb, 0.73, 0.67, 0.2, 0.78, 1.0, 0.65, 0.81, 0.86, 0.74, 
pose6.pdb, 0.64, 0.48, 0.11, 0.76, 0.65, 1.0, 0.79, 0.65, 0.88, 
pose7.pdb, 0.77, 0.59, 0.12, 0.88, 0.81, 0.79, 1.0, 0.8, 0.91, 
pose8.pdb, 0.73, 0.62, 0.26, 0.77, 0.86, 0.65, 0.8, 1.0, 0.74, 
pose9.pdb, 0.71, 0.54, 0.12, 0.81, 0.74, 0.88, 0.91, 0.74, 1.0, 
