Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.75, 0.0, 0.27, 0.67, 0.56, 0.71, 0.0, 0.53, 
pose2.pdb, 0.75, 1.0, 0.0, 0.15, 0.38, 0.5, 0.83, 0.0, 0.47, 
pose3.pdb, 0.0, 0.0, 1.0, 0.0, 0.0, 0.14, 0.0, 0.6, 0.13, 
pose4.pdb, 0.27, 0.15, 0.0, 1.0, 0.4, 0.4, 0.18, 0.0, 0.5, 
pose5.pdb, 0.67, 0.38, 0.0, 0.4, 1.0, 0.44, 0.43, 0.0, 0.53, 
pose6.pdb, 0.56, 0.5, 0.14, 0.4, 0.44, 1.0, 0.57, 0.0, 0.84, 
pose7.pdb, 0.71, 0.83, 0.0, 0.18, 0.43, 0.57, 1.0, 0.0, 0.53, 
pose8.pdb, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 
pose9.pdb, 0.53, 0.47, 0.13, 0.5, 0.53, 0.84, 0.53, 0.0, 1.0, 
