Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.64, 0.0, 0.0, 0.79, 0.0, 0.95, 0.0, 0.0, 
pose2.pdb, 0.8, 1.0, 0.0, 0.0, 0.55, 0.0, 1.1, 0.0, 0.0, 
pose3.pdb, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.78, 0.0, 
pose4.pdb, 0.0, 0.0, 0.0, 1.0, 0.0, 0.58, 0.0, 0.0, 0.42, 
pose5.pdb, 0.85, 0.6, 0.0, 0.0, 1.0, 0.0, 0.53, 0.0, 0.0, 
pose6.pdb, 0.0, 0.0, 0.0, 0.55, 0.0, 1.0, 0.0, 0.0, 0.16, 
pose7.pdb, 0.78, 0.76, 0.0, 0.0, 0.5, 0.0, 1.0, 0.0, 0.0, 
pose8.pdb, 0.0, 0.0, 0.72, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 
pose9.pdb, 0.0, 0.0, 0.0, 0.34, 0.0, 0.19, 0.0, 0.0, 1.0, 
