RMS values
 ,pose1_0rot.pdb, pose2_0rot.pdb, pose3_0rot.pdb, pose4_0rot.pdb, pose5_0rot.pdb, pose6_0rot.pdb, pose7_0rot.pdb, pose8_0rot.pdb, pose9_0rot.pdb, 
pose1_0rot.pdb, 0.0, 4.43, 17.96, 11.47, 17.84, 11.58, 5.09, 17.78, 3.25, 
pose2_0rot.pdb, 4.43, 0.0, 17.99, 12.31, 17.97, 12.32, 3.58, 17.69, 4.94, 
pose3_0rot.pdb, 17.96, 17.99, 0.0, 19.54, 1.99, 19.46, 18.0, 2.11, 17.95, 
pose4_0rot.pdb, 11.47, 12.31, 19.54, 0.0, 19.47, 2.05, 12.61, 20.33, 11.29, 
pose5_0rot.pdb, 17.84, 17.97, 1.99, 19.47, 0.0, 19.55, 18.0, 2.86, 18.03, 
pose6_0rot.pdb, 11.58, 12.32, 19.46, 2.05, 19.55, 0.0, 12.57, 20.23, 11.11, 
pose7_0rot.pdb, 5.09, 3.58, 18.0, 12.61, 18.0, 12.57, 0.0, 17.66, 4.31, 
pose8_0rot.pdb, 17.78, 17.69, 2.11, 20.33, 2.86, 20.23, 17.66, 0.0, 17.78, 
pose9_0rot.pdb, 3.25, 4.94, 17.95, 11.29, 18.03, 11.11, 4.31, 17.78, 0.0, 
