Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.72, 0.68, 0.84, 0.86, 0.69, 0.51, 0.65, 0.33, 
pose2.pdb, 0.72, 1.0, 0.79, 0.63, 0.72, 0.69, 0.72, 0.92, 0.37, 
pose3.pdb, 0.68, 0.79, 1.0, 0.65, 0.59, 0.71, 0.74, 0.77, 0.28, 
pose4.pdb, 0.84, 0.63, 0.65, 1.0, 0.74, 0.79, 0.51, 0.61, 0.15, 
pose5.pdb, 0.86, 0.72, 0.59, 0.74, 1.0, 0.62, 0.51, 0.65, 0.33, 
pose6.pdb, 0.69, 0.69, 0.71, 0.79, 0.62, 1.0, 0.62, 0.67, 0.2, 
pose7.pdb, 0.51, 0.72, 0.74, 0.51, 0.51, 0.62, 1.0, 0.7, 0.22, 
pose8.pdb, 0.65, 0.92, 0.77, 0.61, 0.65, 0.67, 0.7, 1.0, 0.36, 
pose9.pdb, 0.33, 0.37, 0.28, 0.15, 0.33, 0.2, 0.22, 0.36, 1.0, 
