Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.68, 0.62, 0.76, 0.79, 0.63, 0.51, 0.73, 0.34, 
pose2.pdb, 0.68, 1.0, 0.79, 0.63, 0.72, 0.71, 0.78, 0.92, 0.36, 
pose3.pdb, 0.62, 0.79, 1.0, 0.67, 0.6, 0.69, 0.7, 0.73, 0.31, 
pose4.pdb, 0.76, 0.63, 0.67, 1.0, 0.76, 0.76, 0.49, 0.58, 0.21, 
pose5.pdb, 0.79, 0.72, 0.6, 0.76, 1.0, 0.67, 0.53, 0.67, 0.33, 
pose6.pdb, 0.63, 0.71, 0.69, 0.76, 0.67, 1.0, 0.6, 0.65, 0.18, 
pose7.pdb, 0.51, 0.78, 0.7, 0.49, 0.53, 0.6, 1.0, 0.72, 0.27, 
pose8.pdb, 0.73, 0.92, 0.73, 0.58, 0.67, 0.65, 0.72, 1.0, 0.32, 
pose9.pdb, 0.34, 0.36, 0.31, 0.21, 0.33, 0.18, 0.27, 0.32, 1.0, 
