Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.78, 0.97, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pose2.pdb, 0.71, 1.0, 0.72, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pose3.pdb, 0.98, 0.8, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pose4.pdb, 0.0, 0.0, 0.0, 1.0, 0.0, 0.37, 0.0, 0.0, 0.0, 
pose5.pdb, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.34, 0.0, 
pose6.pdb, 0.0, 0.0, 0.0, 0.36, 0.0, 1.0, 0.0, 0.0, 0.0, 
pose7.pdb, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 
pose8.pdb, 0.0, 0.0, 0.0, 0.0, 0.24, 0.0, 0.0, 1.0, 0.0, 
pose9.pdb, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 
