Fingerprint values
 ,pose1.pdb, pose2.pdb, pose3.pdb, pose4.pdb, pose5.pdb, pose6.pdb, pose7.pdb, pose8.pdb, pose9.pdb, 
pose1.pdb, 1.0, 0.15, 0.29, 0.17, 0.22, 0.14, 0.1, 0.09, 0.17, 
pose2.pdb, 0.15, 1.0, 0.19, 0.24, 0.07, 0.05, 0.2, 0.09, 0.2, 
pose3.pdb, 0.29, 0.19, 1.0, 0.19, 0.2, 0.15, 0.21, 0.33, 0.22, 
pose4.pdb, 0.17, 0.24, 0.19, 1.0, 0.0, 0.1, 0.58, 0.08, 0.11, 
pose5.pdb, 0.22, 0.07, 0.2, 0.0, 1.0, 0.24, 0.03, 0.17, 0.24, 
pose6.pdb, 0.14, 0.05, 0.15, 0.1, 0.24, 1.0, 0.07, 0.07, 0.0, 
pose7.pdb, 0.1, 0.2, 0.21, 0.58, 0.03, 0.07, 1.0, 0.13, 0.2, 
pose8.pdb, 0.09, 0.09, 0.33, 0.08, 0.17, 0.07, 0.13, 1.0, 0.35, 
pose9.pdb, 0.17, 0.2, 0.22, 0.11, 0.24, 0.0, 0.2, 0.35, 1.0, 
