Fingerprint values
 ,vina_outputigand_1.pdbqt, vina_outputigand_2.pdbqt, vina_outputigand_3.pdbqt, vina_outputigand_4.pdbqt, vina_outputigand_5.pdbqt, vina_outputigand_6.pdbqt, vina_outputigand_7.pdbqt, vina_outputigand_8.pdbqt, vina_outputigand_9.pdbqt, 
vina_outputigand_1.pdbqt, 1.0, 0.14813363449166972, 0.294468723428558, 0.1744956101130282, 0.21548138998493474, 0.13689641954834839, 0.0986412966737323, 0.08542159614461593, 0.1688405365476414, 
vina_outputigand_2.pdbqt, 0.14813363449166972, 1.0, 0.19270257800790502, 0.23682160566513938, 0.06713412272565086, 0.045098761680169734, 0.1986044866024163, 0.09485549728226632, 0.20047225567521376, 
vina_outputigand_3.pdbqt, 0.294468723428558, 0.19270257800790502, 1.0, 0.18681063552118893, 0.2008048322256247, 0.15229173019024161, 0.21396993370593093, 0.3276535024033643, 0.2219210523130669, 
vina_outputigand_4.pdbqt, 0.1744956101130282, 0.23682160566513938, 0.18681063552118893, 1.0, 0.0, 0.10131105378372258, 0.5811362131597152, 0.08282088285399038, 0.10673521004472301, 
vina_outputigand_5.pdbqt, 0.21548138998493474, 0.06713412272565086, 0.2008048322256247, 0.0, 1.0, 0.23536721792281795, 0.032686022523030676, 0.16500399623892645, 0.23602528531264153, 
vina_outputigand_6.pdbqt, 0.13689641954834839, 0.045098761680169734, 0.15229173019024161, 0.10131105378372258, 0.23536721792281795, 1.0, 0.06946486627827642, 0.06603081882292827, 0.0, 
vina_outputigand_7.pdbqt, 0.0986412966737323, 0.1986044866024163, 0.21396993370593093, 0.5811362131597152, 0.032686022523030676, 0.06946486627827642, 1.0, 0.13204582785477842, 0.19718309859154928, 
vina_outputigand_8.pdbqt, 0.08542159614461593, 0.09485549728226632, 0.3276535024033643, 0.08282088285399038, 0.16500399623892645, 0.06603081882292827, 0.13204582785477842, 1.0, 0.3475027240613422, 
vina_outputigand_9.pdbqt, 0.1688405365476414, 0.20047225567521376, 0.2219210523130669, 0.10673521004472301, 0.23602528531264153, 0.0, 0.19718309859154928, 0.3475027240613422, 1.0, 
